,,,All features released after March 4th 2024 are not available on legacy plans,,,,,,,,,,,,NEW (ALL PLATFORMS),,,,,,,New Shopify,,,,New SelfServe,,Salla Pricing,,,
,Section,Type,Feature,Notes,Release Date,Benefit,Medium,Medium Sub-Category,Benefit Tier,Use Case,Scalable,Transactional Report Available,Event Data Collected,Needed Now?,Kickstarter,Basic,Growth,Master,Provided on Legacy Plans?,Transition Action,Seed Data Change Needed,Free,Starter,Pro,Guru,Growth,Enterprise,Free (الباقه المجانية),Starter (الباقه البرونزية),Pro (الباقه الفضية),Guru (الباقه الذهبية)
,listing page,,,,,,,,,,,,,,,,,,,,,https://apps.shopify.com/gameball,,,,,,https://apps.salla.sa/ar/app/1407572580,,,
,Reward Campaigns,,Activate - Calender Challenge ,Updated (14/4/2025),2/17/2025,,,,,,,,,,,,,,,,,Popup (Contact Sales),Popup (Contact Sales),Popup (Contact Sales),Popup (Contact Sales),Popup (Contact Sales),Popup (Contact Sales),Popup (Contact Sales),Popup (Contact Sales),Popup (Contact Sales),Popup (Contact Sales)
,Reward Campaigns,,Activate - Scratch & Win,,3/18/2025,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Popup (Contact Sales),Popup (Contact Sales),No,No,Yes,Yes
,Reward Campaigns,,Activate - Match Cards,,4/7/2025,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Popup (Contact Sales),Popup (Contact Sales),No,No,Yes,Yes
,Reward Campaigns,,Activate - Catcher Game,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Popup (Contact Sales),Popup (Contact Sales),No,No,Yes,Yes
,Reward Campaigns,,Activate - Tic Tac Toe,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Popup (Contact Sales),Popup (Contact Sales),No,No,Yes,Yes
,Reward Campaigns,,Activate - Shooter,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Popup (Contact Sales),Popup (Contact Sales),No,No,Yes,Yes
,Reward Campaigns,,Activate - Puzzle,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Popup (Contact Sales),Popup (Contact Sales),No,No,Yes,Yes
,Reward Campaigns,,Activate - Tap the Target,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Popup (Contact Sales),Popup (Contact Sales),No,No,Yes,Yes
,Reward Campaigns,,Activate - Driving,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Popup (Contact Sales),Popup (Contact Sales),No,No,Yes,Yes
,Reward Campaigns,,Activate - Subscribe to Newsletter (Popup) ,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Hidden (NA),Hidden (NA),Hidden (NA),Hidden (NA)
,Reward Campaigns,,Activate - First Order Discount  (Popup),,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Hidden (NA),Hidden (NA),Hidden (NA),Hidden (NA)
,Reward Campaigns,,Activate - Instant Rewrad ,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Reward Campaigns,,Activate - Double The Points ,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
,Reward Campaigns,,Activate - Triple The Points,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
,Reward Campaigns,Action,Activate - Visit a specific product,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
,Reward Campaigns,Action,Activate - Buy a specific product,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
,Reward Campaigns,Action,Activate - Buy from a specific collection,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
,Reward Campaigns,Action,Activate - Exceed your highest order value,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
,Reward Campaigns,Action,Activate - Buy X Get Y on your next order,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
,Reward Campaigns,Action,Activate - Buy 3 items from a specific collection,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
,Reward Campaigns,Action,Activate - Buy from 3 different collections,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
,Reward Campaigns,Action,Activate - Free Shipping for orders over 500$,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
,Reward Campaigns,Action,Activate - Buy over 50$ and get 5$ on the next order,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
,Reward Campaigns,Action,Activate - Get 20% OFF after spending total of 1000$ ,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
,Reward Campaigns,Action,Activate - Black friday,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Reward Campaigns,Action,Activate - Christmas,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Reward Campaigns,,Activate - Seasonal Offer,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
,Reward Campaigns,Action,Custom Action-based,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
,Reward Campaigns,Action,Custom Time-based,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
,Reward Campaigns,,Custom Points-Multiplier,,9/15/2024,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
,Reward Campaigns,,Custom Points-Multiplier Based on Specific rule ,,9/15/2024,,,,,,,,,,,,,,,,,No,No,No,Yes,No,Yes,No,No,No,Yes
,Reward Campaigns,,Custom Shopify Flow (New),,11/11/2024,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Hidden (NA),Hidden (NA),Hidden (NA),Hidden (NA),Hidden (NA),Hidden (NA)
7,Reward Campaigns,Page access,[Redirection] Add a redirection link ,,,Engagement,Gamification,,Full,,,,,,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7,Reward Campaigns,Page access,[Redirection] Add a redirection link Query param,,,Engagement,Gamification,,Full,,,,,,Yes,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7,Reward Campaigns,Limitation,[Audience] Specific Customers,,,Engagement,Targeting,,Advanced,,,Partial,No,,No,No,Yes,Yes,,delete,,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
7,Reward Campaigns,Limitation,[Audience] Guest Anonymous [Popup & Some Games],,,Engagement,Targeting,,Advanced,,,Partial,No,,No,No,Yes,Yes,,delete,,No,Yes,Yes,Yes,Yes,Yes,Hidden (NA),Hidden (NA),Hidden (NA),Hidden (NA)
7,Reward Campaigns,Action,[Badge] Add Reward Campaign Badge Reward,,,Engagement,Gamification,,Full,,0,,,,No,No,No,Yes,,global settings,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
7,Reward Campaigns,Limitation,[Badge] Edit Reward Campaign Badge,,,Engagement,Branding,Images,Advanced,Branding (Images),0,No,No,,From library,From library,Library or Upload,Library or Upload,,,,From library Only,From library Only,Yes,Yes,Yes,Yes,From library Only,From library Only,Yes,Yes
,Reward Campaigns,,[Badge] Edit Reward Campaign Badge Visibilty,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
,Reward Campaigns,Action,[Activation] Add Time/Schedule [Action-Based Campaign],,,Engagement,Gamification,,Full,,0,,,,No,No,No,Yes,,global settings,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
7,Reward Campaigns,Action,[Repeatability] Edit Reward Campaign Repeatability,,,Engagement,Gamification,,Full,,0,,,,No,No,No,Yes,,global settings,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes
